project,sector,update_date,progress,summary,next_milestone,issues,source
CPP Phase 1 - Building B01,Buildings,2026-06-27,54,Basement wall and slab works continued with restricted reinforcement availability.,Complete basement ceiling slab,Steel allocation and formwork productivity require recovery actions.,Demo weekly progress update
CPP Phase 1 - Building B01,Buildings,2026-07-03,57,One reinforcement zone was released and formwork recovery measures started.,Complete basement ceiling slab,Confirmed steel delivery dates remain outstanding.,Demo weekly progress update
CPP Phase 1 - Building B02,Buildings,2026-06-27,46,Basement reinforcement preparation progressed while IFC interfaces were reviewed.,Release basement structural package,Revised opening coordinates are pending.,Demo weekly progress update
CPP Phase 1 - Building B02,Buildings,2026-07-03,48,Interface matrix was issued and partial technical responses were received.,Release basement structural package,Two design responses remain open.,Demo weekly progress update
CPP Phase 1 - Building B03,Buildings,2026-06-27,39,Structural shop drawings were resubmitted after consultant comments.,Approve basement slab shop drawings,Repeated review comments are extending the approval cycle.,Demo weekly progress update
CPP Phase 1 - Building B03,Buildings,2026-07-03,40,Comment closure workshop was scheduled and fabrication planning updated.,Approve basement slab shop drawings,Approval remains a prerequisite for reinforcement release.,Demo weekly progress update
CPP Phase 1 - Building B04,Buildings,2026-06-27,51,Structural works advanced in released zones with MEP interfaces under review.,Complete basement ceiling slab,Coordinated builder-work drawings are incomplete.,Demo weekly progress update
CPP Phase 1 - Building B04,Buildings,2026-07-03,53,Zone 1 coordination was closed and specialist manpower recovery was initiated.,Complete basement ceiling slab,Zone 2 drawings and manpower deployment remain outstanding.,Demo weekly progress update
CPP Phase 1 - Water Tank,Buildings,2026-06-27,32,Excavation and dewatering continued with formation monitoring.,Complete raft concrete pour,Pump capacity and trial-mix approval are being addressed.,Demo weekly progress update
CPP Phase 1 - Water Tank,Buildings,2026-07-03,35,Standby pump was mobilized and raft preparation progressed.,Complete raft concrete pour,Final durability approval is pending.,Demo weekly progress update
East Cairo Tunnel Package,Tunnels,2026-06-27,64,Civil advance continued and systems procurement was reviewed.,Complete tunnel breakthrough,Ventilation package dates and permit renewal require escalation.,Demo weekly progress update
East Cairo Tunnel Package,Tunnels,2026-07-03,66,Tunnel advance remained stable and vendor recovery meeting was arranged.,Complete tunnel breakthrough,Approved manufacturing baseline is still unavailable.,Demo weekly progress update
North Utilities Diversion,Infrastructure,2026-06-20,43,Utility trial pits and temporary works were completed in two work fronts.,Complete primary utility cutover,Authority possession duration differs from approved plan.,Demo weekly progress update
North Utilities Diversion,Infrastructure,2026-07-03,46,Cutover re-planning started against the revised night-work window.,Complete primary utility cutover,Extended weekend possession is not yet approved.,Demo weekly progress update
PMO Digital Transformation,PMO,2026-06-27,71,"Portfolio warning, commitment and meeting modules were configured.",Launch automated data-quality alerts,User acceptance feedback is still being consolidated.,Demo PMO implementation update
PMO Digital Transformation,PMO,2026-07-03,76,Data freshness dashboard and alert rule were tested in staging.,Issue July executive portfolio report,Two project updates were late at reporting cut-off.,Demo PMO implementation update
