title,project,status,due_date
Approve controlled allocation of available reinforcement to B01 critical slabs,CPP Phase 1 - Building B01,Pending,2026-07-06
Approve consolidated IFC response workshop for B02,CPP Phase 1 - Building B02,Approved,2026-07-05
Authorize daily shop-drawing closure sessions for B03,CPP Phase 1 - Building B03,Approved,2026-07-06
Approve zone-based B04 structural release subject to signed MEP checklist,CPP Phase 1 - Building B04,Pending,2026-07-06
Reserve provisional batching slot for water-tank raft,CPP Phase 1 - Water Tank,Pending,2026-07-06
Deploy factory expeditor for tunnel ventilation package,East Cairo Tunnel Package,Pending,2026-07-07
Approve interim second-shift arrangement subject to permit confirmation,East Cairo Tunnel Package,Pending,2026-07-10
Approve revised utility cutover methodology for six-hour possessions,North Utilities Diversion,Pending,2026-07-11
Apply portfolio reporting freeze at 12:00 on 2026-07-05,PMO Digital Transformation,Approved,2026-07-05
Activate automated stale-update escalation workflow,PMO Digital Transformation,Pending,2026-07-12
