project,title,due_date,status
CPP Phase 1 - Building B01,Complete basement ceiling slab,2026-07-18,At Risk
CPP Phase 1 - Building B01,Complete ground-floor slab,2026-08-22,At Risk
CPP Phase 1 - Building B02,Release basement structural package,2026-07-15,At Risk
CPP Phase 1 - Building B03,Approve basement slab shop drawings,2026-07-13,At Risk
CPP Phase 1 - Building B04,Complete basement ceiling slab,2026-07-20,At Risk
CPP Phase 1 - Water Tank,Complete raft concrete pour,2026-07-16,At Risk
East Cairo Tunnel Package,Complete tunnel breakthrough,2026-09-30,Open
East Cairo Tunnel Package,Energize tunnel systems,2026-12-15,At Risk
North Utilities Diversion,Complete primary utility cutover,2026-08-05,At Risk
North Utilities Diversion,Restore permanent traffic arrangement,2026-08-20,Open
PMO Digital Transformation,Launch automated data-quality alerts,2026-07-15,Open
PMO Digital Transformation,Issue July executive portfolio report,2026-07-07,Open
