title,category,due_date
Review tomorrow priorities,Planning,2026-07-04
Confirm family weekend arrangements,Family,2026-07-04
Renew cloud storage subscription,Renewal,2026-07-06
Prepare weekly reading list,Personal Development,2026-07-07
Book vehicle service appointment,Errands,2026-07-08
Organize important documents folder,Admin,2026-07-09
Buy household supplies,Shopping,2026-07-05
Call a family member,Family,2026-07-05
Plan next month personal budget,Finance,2026-07-10
Back up personal photos,Digital,2026-07-11
