title,category,sector,project,severity,trend,evidence,potential_impact,impacted_milestone,owner,date_identified,due_date,recommended_intervention,source
Employer steel delivery may constrain B01 reinforcement works,Procurement,Buildings,CPP Phase 1 - Building B01,Critical,Deteriorating,Available reinforcement balance is below the next two planned slab requirements,Potential interruption to reinforcement and concrete sequence,B01 ground-floor slab completion,Procurement Manager,2026-06-25,2026-07-06,Confirm dated delivery schedule and approve interim allocation plan,Demo weekly controls update
Revised IFC information is pending for B02 basement interfaces,Design,Buildings,CPP Phase 1 - Building B02,High,Stable,Open design register items remain unanswered beyond the planned response date,Shop drawing rework and delayed basement release,B02 basement structural completion,Design Manager,2026-06-26,2026-07-08,Hold focused design workshop and issue consolidated response matrix,Demo design register
B03 shop-drawing resubmission cycle exceeds planned turnaround,Engineering,Buildings,CPP Phase 1 - Building B03,High,Deteriorating,Three structural submittals are in second resubmission with unresolved comments,Late release of reinforcement fabrication,B03 basement slab approval,Technical Office Manager,2026-06-28,2026-07-09,Agree comment-closure protocol and daily review session,Demo submittal log
MEP sleeve coordination is incomplete for B04 slab zones,Coordination,Buildings,CPP Phase 1 - Building B04,High,New,Approved coordinated builder-work drawings are unavailable for two slab zones,Hold points before reinforcement inspection and concrete pour,B04 basement ceiling slab,MEP Manager,2026-07-01,2026-07-07,Freeze coordinated openings and issue zone-by-zone release plan,Demo coordination meeting
Water-tank excavation dewatering capacity may be insufficient,Construction,Buildings,CPP Phase 1 - Water Tank,Medium,Improving,Observed inflow exceeded the original pump duty during the latest inspection,Reduced excavation productivity and possible formation deterioration,Water-tank foundation release,Construction Manager,2026-06-29,2026-07-05,Mobilize standby pump and confirm discharge route,Demo site inspection
Tunnel ventilation fan delivery is not contractually confirmed,Procurement,Tunnels,East Cairo Tunnel Package,Critical,Deteriorating,Supplier has not issued an approved manufacturing and shipping baseline,Late testing and commissioning sequence,Tunnel systems energization,Supply Chain Lead,2026-06-20,2026-07-06,Escalate supplier recovery schedule with weekly factory evidence,Demo procurement report
Night-work permit renewal may lapse before tunnel shift expansion,Permits,Tunnels,East Cairo Tunnel Package,High,Stable,Renewal application remains under authority review,Loss of planned second shift and reduced advance rate,Tunnel breakthrough target,Stakeholder Manager,2026-06-30,2026-07-10,Secure interim permit confirmation and authority meeting,Demo permit tracker
Utility diversion access window is shorter than the approved plan,Interface,Infrastructure,North Utilities Diversion,High,New,Traffic authority notice limits the available work window to six hours per night,Longer diversion duration and increased remobilization,Primary utility cutover,Interface Manager,2026-07-02,2026-07-11,Re-sequence crews and request extended weekend possession,Demo authority notice
B01 formwork productivity remains below recovery target,Schedule,Buildings,CPP Phase 1 - Building B01,Medium,Stable,Seven-day average output is 82 percent of the approved recovery rate,Erosion of available float on successor slab activities,B01 basement ceiling slab,Project Manager,2026-06-27,2026-07-07,Add second striking crew and track daily zone output,Demo daily production report
Two projects have not submitted current weekly progress updates,Governance,PMO,PMO Digital Transformation,Medium,Improving,Data freshness dashboard shows updates older than seven days,Reduced confidence in executive portfolio reporting,Monthly executive PMO report,PMO Controls Lead,2026-07-03,2026-07-05,Escalate missing updates and lock reporting cut-off,Demo PMO data-quality dashboard
B04 specialist subcontractor manpower is below approved histogram,Resources,Buildings,CPP Phase 1 - Building B04,Medium,Deteriorating,Mobilized workforce is 18 operatives below the two-week lookahead requirement,Late completion of embedded services and blockwork fronts,B04 first-floor readiness,Project Manager,2026-07-02,2026-07-08,Submit manpower recovery curve and named mobilization list,Demo manpower report
Concrete trial-mix approval is pending for water-retaining elements,Quality,Buildings,CPP Phase 1 - Water Tank,High,New,Laboratory results were submitted but final consultant approval is outstanding,Delay to raft concrete booking and reinforcement release,Water-tank raft pour,QA/QC Manager,2026-07-01,2026-07-06,Close technical comments and reserve provisional batching slot,Demo quality register
