title,description,owner,delegator,project,sector,priority,due_date,status,progress,evidence,comments,escalation_level,audit_history
Issue confirmed B01 steel delivery schedule,Provide supplier-backed dispatch and site delivery dates for all outstanding reinforcement quantities.,Procurement Manager,Buildings Sector Director,CPP Phase 1 - Building B01,Buildings,Critical,2026-07-05,In Progress,60,Draft supplier schedule received,Final dates require supplier signature,2,Created from demo B01 recovery workshop
Approve B01 interim steel allocation plan,Prioritize available steel against the critical slab sequence and protect current work fronts.,B01 Project Director,PMO Director,CPP Phase 1 - Building B01,Buildings,High,2026-07-06,Open,25,Allocation worksheet prepared,Pending executive review,2,Created from demo executive review
Close B02 IFC interface matrix,Resolve all basement opening and column-slab interface comments in one consolidated response.,Design Manager,Buildings Sector Director,CPP Phase 1 - Building B02,Buildings,High,2026-07-08,In Progress,45,Interface matrix issued for review,Two technical responses outstanding,1,Created from demo design coordination
Complete B03 shop-drawing comment closure session,Conduct daily closure meeting until all repeated comments are resolved and resubmission is accepted.,Technical Office Manager,B03 Project Manager,CPP Phase 1 - Building B03,Buildings,High,2026-07-09,Open,20,First closure session scheduled,Track comments by discipline,1,Created from demo sector review
Issue B04 coordinated builder-work drawings by zone,Release signed coordinated openings for the next two structural pour zones.,MEP Manager,Buildings Sector Manager,CPP Phase 1 - Building B04,Buildings,Critical,2026-07-06,In Progress,70,Zone 1 drawing signed,Zone 2 awaiting final electrical check,2,Created from demo readiness review
Mobilize B04 specialist manpower recovery,Increase specialist workforce to the approved histogram level with named deployment dates.,B04 Project Manager,Buildings Sector Director,CPP Phase 1 - Building B04,Buildings,High,2026-07-08,Open,30,Subcontractor recovery curve received,Mobilization evidence required,1,Created from demo manpower review
Mobilize standby dewatering pump,Provide operational standby pump and verify safe discharge arrangement before excavation resumes.,Construction Manager,Buildings Sector Manager,CPP Phase 1 - Water Tank,Buildings,High,2026-07-05,Completed,100,Pump test record and site photo logged,Monitor inflow each shift,0,Closed following demo site inspection
Close water-retaining concrete durability comments,Submit revised technical documents and obtain final trial-mix approval.,QA/QC Manager,Buildings Sector Director,CPP Phase 1 - Water Tank,Buildings,Critical,2026-07-06,In Progress,75,Revised durability submission issued,Consultant response expected next working day,2,Created from demo water tank review
Submit tunnel ventilation recovery baseline,"Provide approved manufacturing, inspection, shipping and delivery schedule with weekly evidence gates.",Supply Chain Lead,Tunnels Sector Director,East Cairo Tunnel Package,Tunnels,Critical,2026-07-06,In Progress,40,Vendor draft schedule received,Factory hold points are missing,3,Created from demo procurement steering
Secure interim tunnel night-work permit confirmation,Obtain written authority confirmation to maintain the planned second shift pending formal renewal.,Stakeholder Manager,Tunnels Sector Director,East Cairo Tunnel Package,Tunnels,High,2026-07-10,Open,35,Authority meeting request submitted,Follow up before permit expiry,2,Created from demo permit review
Submit revised utility cutover methodology,Re-plan the cutover for the available possession and quantify additional shifts required.,Interface Manager,Infrastructure Director,North Utilities Diversion,Infrastructure,High,2026-07-09,Open,15,Planning workshop completed,Awaiting temporary works inputs,1,Created from demo authority interface meeting
Request extended weekend utility possession,Submit formal request for a longer weekend window to preserve the approved cutover sequence.,Stakeholder Manager,Infrastructure Director,North Utilities Diversion,Infrastructure,High,2026-07-11,Open,10,Draft authority letter prepared,Commercial review pending,1,Created from demo stakeholder meeting
Collect missing weekly project updates,"Obtain current progress, issue and milestone updates from non-compliant projects before reporting freeze.",PMO Controls Lead,PMO Director,PMO Digital Transformation,PMO,High,2026-07-05,In Progress,80,One of two missing updates received,Final update due before noon,1,Created from demo data quality review
Configure automated stale-data alerts,Activate reminders when a project update is older than seven days.,PMO Systems Analyst,PMO Controls Lead,PMO Digital Transformation,PMO,Medium,2026-07-12,In Progress,55,Alert rule tested in staging,Production release pending user acceptance,0,Created from demo PMO improvement action
Issue portfolio milestone confidence summary,"Consolidate milestone status, critical issues and required decisions for executive review.",Portfolio Controls Manager,PMO Director,PMO Digital Transformation,PMO,High,2026-07-07,Open,35,Draft summary generated,Awaiting updated data from two projects,1,Created from demo executive reporting cycle
